subject_name,slice,number_of_lesion,sum_voxel,max_size,batch
sub-r028s002,112,7,146,107,1
sub-r015s027,120,1,31,31,1
sub-r034s011,124,1,22,22,1
sub-r023s001,79,2,152,106,1
sub-r009s094,132,4,36,14,1
sub-r035s012,104,1,33,33,1
sub-r046s008,102,1,13,13,1
sub-r010s032,112,1,32,32,1
sub-r047s026,94,2,219,139,1
sub-r004s001,112,2,340,309,1
sub-r009s049,59,1,473,473,1
sub-r040s067,72,1,784,784,1
sub-r034s026,162,1,894,894,1
sub-r040s075,139,4,1630,810,1
sub-r001s002,125,3,1375,1373,1
sub-r038s078,154,1,2561,2561,1
sub-r031s031,113,1,110,110,10
sub-r047s027,153,1,111,111,10
sub-r031s004,108,3,59,34,10
sub-r009s060,156,1,1,1,10
sub-r048s014,103,1,24,24,10
sub-r009s105,57,4,176,134,10
sub-r024s019,107,2,79,57,10
sub-r031s014,124,1,13,13,10
sub-r003s013,107,1,207,207,10
sub-r004s018,187,1,281,281,10
sub-r040s024,113,2,215,193,10
sub-r038s049,117,1,979,979,10
sub-r048s012,157,2,518,457,10
sub-r042s008,136,1,1166,1166,10
sub-r047s026,167,1,1159,1159,10
sub-r038s078,80,3,2022,2009,10
sub-r048s012,81,1,13,13,100
sub-r009s110,153,1,28,28,100
sub-r023s001,162,1,38,38,100
sub-r009s126,62,1,7,7,100
sub-r040s075,108,2,13,8,100
sub-r050s008,59,1,19,19,100
sub-r004s012,137,2,122,98,100
sub-r047s026,92,2,171,108,100
sub-r038s048,58,1,206,206,100
sub-r009s108,32,1,263,263,100
sub-r004s012,121,4,469,238,100
sub-r018s011,196,2,609,606,100
sub-r048s012,99,1,834,834,100
sub-r031s007,113,4,1041,653,100
sub-r047s031,147,2,1032,986,100
sub-r052s010,155,1,2156,2156,100
sub-r046s001,138,2,43,37,1000
sub-r009s060,110,4,30,19,1000
sub-r027s050,149,1,198,198,1000
sub-r042s029,167,1,37,37,1000
sub-r038s054,120,1,53,53,1000
sub-r048s036,115,2,194,123,1000
sub-r004s018,104,1,41,41,1000
sub-r024s021,107,1,11,11,1000
sub-r003s011,139,1,321,321,1000
sub-r015s011,79,1,372,372,1000
sub-r002s010,174,1,328,328,1000
sub-r038s025,46,2,628,627,1000
sub-r038s014,53,3,684,669,1000
sub-r027s031,85,1,1366,1366,1000
sub-r047s035,127,6,1224,1202,1000
sub-r040s032,136,1,2910,2910,1000
sub-r001s038,129,1,21,21,1001
sub-r046s011,153,1,21,21,1001
sub-r009s110,122,1,11,11,1001
sub-r028s026,69,1,96,96,1001
sub-r049s011,142,1,194,194,1001
sub-r024s008,144,1,120,120,1001
sub-r040s051,108,1,9,9,1001
sub-r031s019,107,2,16,10,1001
sub-r009s049,106,3,250,125,1001
sub-r027s023,92,2,472,471,1001
sub-r042s010,122,1,405,405,1001
sub-r015s001,108,1,830,830,1001
sub-r040s053,99,1,900,900,1001
sub-r048s006,67,1,1426,1426,1001
sub-r004s015,139,1,1318,1318,1001
sub-r004s033,169,2,2457,2456,1001
sub-r052s032,86,2,34,31,1002
sub-r009s030,101,4,12,5,1002
sub-r015s025,103,1,25,25,1002
sub-r005s058,111,1,1,1,1002
sub-r009s113,95,1,27,27,1002
sub-r009s115,105,2,198,188,1002
sub-r031s023,113,1,44,44,1002
sub-r009s060,157,2,22,16,1002
sub-r040s049,108,1,218,218,1002
sub-r009s072,85,1,475,475,1002
sub-r028s002,79,6,331,177,1002
sub-r031s033,106,1,573,573,1002
sub-r035s012,128,2,839,815,1002
sub-r018s011,136,1,1435,1435,1002
sub-r042s028,90,2,1589,1588,1002
sub-r042s008,96,1,2866,2866,1002
sub-r010s027,119,1,25,25,1003
sub-r031s014,122,2,53,34,1003
sub-r052s001,121,4,72,64,1003
sub-r052s001,86,1,31,31,1003
sub-r048s011,158,1,54,54,1003
sub-r009s021,132,1,24,24,1003
sub-r031s016,124,1,103,103,1003
sub-r005s076,154,2,50,33,1003
sub-r048s012,164,1,265,265,1003
sub-r038s017,145,1,266,266,1003
sub-r040s049,115,1,291,291,1003
sub-r018s007,115,2,931,916,1003
sub-r024s003,133,1,676,676,1003
sub-r024s005,107,1,1768,1768,1003
sub-r027s023,113,1,1001,1001,1003
sub-r040s032,120,1,2220,2220,1003
sub-r004s023,96,1,82,82,1004
sub-r005s049,125,1,181,181,1004
sub-r004s019,164,3,58,32,1004
sub-r001s026,127,1,177,177,1004
sub-r052s021,62,1,17,17,1004
sub-r040s024,152,2,159,156,1004
sub-r042s029,96,2,29,19,1004
sub-r009s013,111,2,21,12,1004
sub-r002s004,119,2,329,322,1004
sub-r009s024,147,3,357,298,1004
sub-r038s049,39,2,464,455,1004
sub-r004s018,142,1,957,957,1004
sub-r001s010,93,5,882,815,1004
sub-r038s028,112,2,1070,1068,1004
sub-r040s032,157,2,1083,582,1004
sub-r005s015,181,1,2551,2551,1004
sub-r023s008,50,1,32,32,1005
sub-r015s011,63,1,87,87,1005
sub-r009s094,151,1,20,20,1005
sub-r009s094,106,1,15,15,1005
sub-r011s022,136,1,27,27,1005
sub-r027s050,154,1,156,156,1005
sub-r031s037,109,2,49,41,1005
sub-r046s008,116,2,22,16,1005
sub-r028s017,115,2,209,207,1005
sub-r010s007,125,1,431,431,1005
sub-r028s020,122,1,468,468,1005
sub-r004s013,109,2,894,891,1005
sub-r031s007,80,2,549,515,1005
sub-r047s035,85,1,1678,1678,1005
sub-r040s072,124,1,1051,1051,1005
sub-r040s031,107,1,2399,2399,1005
sub-r009s046,122,1,23,23,1006
sub-r004s028,158,1,82,82,1006
sub-r010s021,124,1,13,13,1006
sub-r048s031,137,1,55,55,1006
sub-r001s015,110,1,66,66,1006
sub-r009s098,101,2,155,153,1006
sub-r004s005,129,2,175,159,1006
sub-r002s011,146,1,135,135,1006
sub-r048s021,105,2,294,292,1006
sub-r011s029,135,3,207,181,1006
sub-r009s072,91,1,297,297,1006
sub-r003s002,124,1,501,501,1006
sub-r038s040,141,2,960,858,1006
sub-r038s022,133,1,1101,1101,1006
sub-r047s018,126,1,1027,1027,1006
sub-r042s008,121,1,2946,2946,1006
