subject_name,slice,batch
sub-r038s040,129,1
sub-r047s037,184,1
sub-r040s047,169,1
sub-r048s021,132,1
sub-r010s007,64,1
sub-r031s032,30,1
sub-r004s019,9,1
sub-r009s119,46,1
sub-r003s010,180,1
sub-r040s011,127,1
sub-r046s006,32,1
sub-r011s017,52,1
sub-r040s011,13,1
sub-r001s005,149,1
sub-r040s048,159,1
sub-r027s035,154,1
sub-r005s026,123,1
sub-r001s030,163,1
sub-r009s052,91,1
sub-r011s033,75,1
sub-r040s072,136,1
sub-r009s073,87,1
sub-r005s049,143,1
sub-r040s049,21,1
sub-r040s049,83,1
sub-r009s028,167,1
sub-r040s011,156,1
sub-r031s034,167,1
sub-r047s006,117,1
sub-r027s035,122,1
sub-r029s010,100,1
sub-r048s036,131,1
sub-r004s019,186,2
sub-r046s001,106,2
sub-r010s007,135,2
sub-r042s035,144,2
sub-r048s015,3,2
sub-r045s002,111,2
sub-r048s006,106,2
sub-r040s013,3,2
sub-r010s008,49,2
sub-r040s047,41,2
sub-r005s058,144,2
sub-r009s086,83,2
sub-r017s106,147,2
sub-r028s011,74,2
sub-r042s025,182,2
sub-r034s011,3,2
sub-r052s015,184,2
sub-r034s009,163,2
sub-r011s033,129,2
sub-r001s039,113,2
sub-r052s010,184,2
sub-r031s036,39,2
sub-r009s002,157,2
sub-r009s099,136,2
sub-r027s015,140,2
sub-r038s007,143,2
sub-r009s065,55,2
sub-r017s105,19,2
sub-r038s057,20,2
sub-r031s004,10,2
sub-r023s002,174,2
sub-r010s021,3,2
sub-r009s052,34,3
sub-r015s025,175,3
sub-r027s050,144,3
sub-r047s006,99,3
sub-r038s028,31,3
sub-r009s119,176,3
sub-r029s009,166,3
sub-r017s105,177,3
sub-r040s064,148,3
sub-r042s025,23,3
sub-r031s032,185,3
sub-r005s049,127,3
sub-r009s065,13,3
sub-r001s030,32,3
sub-r038s057,172,3
sub-r038s007,184,3
sub-r048s021,136,3
sub-r017s105,59,3
sub-r027s015,40,3
sub-r031s030,10,3
sub-r023s017,48,3
sub-r003s010,101,3
sub-r009s073,144,3
sub-r034s011,19,3
sub-r038s007,101,3
sub-r040s013,122,3
sub-r010s008,3,3
sub-r009s122,55,3
sub-r031s030,148,3
sub-r027s035,145,3
sub-r038s040,29,3
sub-r001s025,187,3
sub-r040s072,170,4
sub-r004s012,161,4
sub-r011s033,91,4
sub-r044s003,169,4
sub-r048s011,12,4
sub-r017s105,171,4
sub-r024s005,152,4
sub-r040s049,66,4
sub-r031s036,71,4
sub-r038s028,167,4
sub-r009s030,51,4
sub-r040s039,123,4
sub-r027s035,25,4
sub-r040s037,154,4
sub-r040s047,37,4
sub-r038s028,182,4
sub-r009s122,157,4
sub-r038s028,144,4
sub-r009s086,149,4
sub-r047s031,173,4
sub-r038s081,112,4
sub-r038s081,181,4
sub-r034s011,8,4
sub-r040s013,186,4
sub-r047s031,38,4
sub-r011s017,131,4
sub-r010s021,108,4
sub-r031s030,18,4
sub-r009s028,71,4
sub-r031s034,174,4
sub-r040s039,16,4
sub-r052s010,2,4
sub-r009s122,99,5
sub-r027s035,27,5
sub-r038s028,151,5
sub-r048s006,98,5
sub-r001s025,163,5
sub-r028s026,124,5
sub-r009s028,54,5
sub-r003s010,102,5
sub-r042s032,150,5
sub-r003s010,79,5
sub-r027s001,114,5
sub-r009s122,81,5
sub-r042s032,152,5
sub-r009s002,167,5
sub-r048s036,170,5
sub-r040s013,49,5
sub-r009s065,174,5
sub-r009s078,2,5
sub-r038s093,145,5
sub-r011s017,33,5
sub-r009s098,41,5
sub-r009s015,47,5
sub-r040s043,41,5
sub-r031s032,139,5
sub-r005s049,142,5
sub-r042s035,133,5
sub-r031s030,119,5
sub-r040s059,97,5
sub-r029s009,39,5
sub-r048s021,187,5
sub-r010s021,101,5
sub-r004s025,8,5
sub-r034s009,22,6
sub-r009s073,176,6
sub-r017s105,150,6
sub-r009s045,113,6
sub-r023s002,71,6
sub-r009s073,20,6
sub-r009s098,161,6
sub-r001s005,16,6
sub-r028s011,82,6
sub-r010s027,131,6
sub-r010s007,143,6
sub-r001s033,21,6
sub-r048s011,116,6
sub-r004s019,8,6
sub-r040s064,166,6
sub-r046s005,18,6
sub-r009s119,166,6
sub-r031s020,33,6
sub-r010s021,118,6
sub-r009s122,111,6
sub-r009s098,21,6
sub-r040s047,174,6
sub-r017s105,40,6
sub-r038s028,111,6
sub-r009s052,59,6
sub-r038s043,35,6
sub-r011s033,3,6
sub-r005s026,156,6
sub-r040s047,11,6
sub-r052s026,50,6
sub-r009s086,24,6
sub-r009s065,153,6
sub-r042s013,12,7
sub-r040s049,62,7
sub-r042s032,154,7
sub-r009s122,143,7
sub-r052s025,6,7
sub-r027s035,127,7
sub-r047s031,3,7
sub-r045s002,188,7
sub-r048s012,153,7
sub-r034s009,146,7
sub-r038s025,36,7
sub-r009s099,49,7
sub-r009s073,25,7
sub-r038s082,3,7
sub-r028s011,169,7
sub-r047s037,52,7
sub-r042s035,115,7
sub-r009s045,178,7
sub-r029s010,17,7
sub-r048s015,24,7
sub-r010s008,66,7
sub-r031s033,57,7
sub-r011s017,118,7
sub-r040s072,151,7
sub-r009s073,148,7
sub-r005s058,30,7
sub-r052s025,174,7
sub-r004s035,0,7
sub-r009s085,139,7
sub-r028s011,5,7
sub-r009s020,36,7
sub-r009s002,138,7
sub-r004s025,31,8
sub-r009s119,9,8
sub-r017s105,124,8
sub-r028s011,178,8
sub-r047s031,160,8
sub-r040s039,174,8
sub-r052s015,181,8
sub-r009s099,53,8
sub-r048s006,154,8
sub-r027s035,129,8
