subject_name,slice,batch
sub-r002s006,53,1
sub-r001s032,12,1
sub-r019s012,27,1
sub-r009s085,64,1
sub-r034s007,179,1
sub-r034s036,3,1
sub-r011s024,140,1
sub-r029s007,127,1
sub-r040s024,40,1
sub-r001s021,23,1
sub-r029s003,188,1
sub-r002s006,22,1
sub-r009s074,168,1
sub-r004s027,4,1
sub-r034s007,2,1
sub-r042s008,186,1
sub-r038s089,152,2
sub-r047s031,160,2
sub-r034s039,146,2
sub-r047s031,155,2
sub-r009s124,148,2
sub-r029s007,125,2
sub-r009s058,181,2
sub-r049s016,6,2
sub-r005s049,33,2
sub-r004s028,158,2
sub-r024s021,3,2
sub-r035s012,187,2
sub-r027s023,138,2
sub-r004s021,5,2
sub-r047s014,4,2
sub-r004s022,154,2
sub-r029s003,28,3
sub-r005s074,34,3
sub-r047s048,75,3
sub-r034s039,126,3
sub-r038s065,91,3
sub-r027s041,180,3
sub-r001s026,180,3
sub-r010s014,33,3
sub-r049s005,90,3
sub-r034s046,101,3
sub-r010s002,130,3
sub-r031s019,6,3
sub-r031s014,113,3
sub-r001s026,171,3
sub-r001s026,124,3
sub-r047s018,158,3
sub-r001s026,173,4
sub-r003s008,180,4
sub-r024s021,163,4
sub-r004s022,136,4
sub-r010s018,187,4
sub-r031s014,122,4
sub-r011s024,139,4
sub-r027s032,15,4
sub-r038s085,18,4
sub-r004s024,24,4
sub-r042s010,179,4
sub-r019s007,171,4
sub-r047s026,181,4
sub-r047s013,167,4
sub-r028s005,147,4
sub-r009s066,187,4
sub-r003s008,18,5
sub-r024s012,163,5
sub-r049s005,144,5
sub-r027s006,38,5
sub-r002s006,164,5
sub-r009s074,119,5
sub-r040s031,5,5
sub-r035s012,126,5
sub-r009s071,182,5
sub-r031s019,57,5
sub-r040s072,177,5
sub-r009s066,69,5
sub-r040s010,169,5
sub-r011s024,123,5
sub-r005s069,167,5
sub-r003s014,58,5
sub-r010s018,16,6
sub-r042s010,105,6
sub-r027s041,173,6
sub-r031s014,135,6
sub-r038s065,126,6
sub-r050s005,105,6
sub-r024s019,156,6
sub-r034s046,149,6
sub-r040s024,71,6
sub-r038s058,112,6
sub-r049s012,131,6
sub-r024s021,13,6
sub-r052s010,132,6
sub-r027s052,185,6
sub-r001s016,17,6
sub-r010s014,7,6
sub-r015s006,108,7
sub-r029s007,150,7
sub-r029s007,155,7
sub-r004s022,152,7
sub-r001s024,0,7
sub-r034s036,151,7
sub-r004s021,26,7
sub-r003s007,157,7
sub-r001s024,123,7
sub-r009s066,53,7
sub-r038s085,61,7
sub-r052s032,129,7
sub-r019s007,185,7
sub-r024s011,20,7
sub-r028s017,108,7
sub-r052s011,109,7
sub-r004s027,175,8
sub-r047s013,169,8
sub-r004s022,157,8
sub-r015s001,63,8
sub-r031s014,58,8
sub-r035s006,137,8
sub-r049s005,4,8
