subject_name,slice,number_of_lesion,sum_voxel,max_size,batch
sub-r028s002,112,7,146,107,1
sub-r015s027,120,1,31,31,1
sub-r034s047,116,2,120,104,1
sub-r048s032,100,1,161,161,1
sub-r040s043,74,7,45,18,1
sub-r035s012,104,1,33,33,1
sub-r046s008,102,1,13,13,1
sub-r010s032,109,1,4,4,1
sub-r047s026,94,2,219,139,1
sub-r004s001,114,2,360,307,1
sub-r009s049,59,1,473,473,1
sub-r040s067,72,1,784,784,1
sub-r034s026,162,1,894,894,1
sub-r034s039,157,3,1103,1090,1
sub-r005s068,107,2,1284,1282,1
sub-r038s078,155,1,2487,2487,1
sub-r009s076,104,1,25,25,10
sub-r047s027,110,2,186,149,10
sub-r031s004,108,3,59,34,10
sub-r015s001,97,1,7,7,10
sub-r048s014,100,1,5,5,10
sub-r009s105,57,4,176,134,10
sub-r024s019,107,2,79,57,10
sub-r009s094,139,3,19,17,10
sub-r034s007,101,3,278,205,10
sub-r048s037,77,6,357,194,10
sub-r040s024,113,2,215,193,10
sub-r005s046,89,1,865,865,10
sub-r004s019,157,2,538,391,10
sub-r042s008,136,1,1166,1166,10
sub-r047s026,167,1,1159,1159,10
sub-r038s078,81,2,2076,2075,10
sub-r047s039,122,3,37,33,100
sub-r048s035,150,1,150,150,100
sub-r002s003,129,1,4,4,100
sub-r009s006,87,3,61,32,100
sub-r019s008,112,2,76,75,100
sub-r050s008,60,1,20,20,100
sub-r018s007,79,1,2,2,100
sub-r047s026,178,3,112,85,100
sub-r009s089,163,1,243,243,100
sub-r009s108,32,1,263,263,100
sub-r047s037,127,2,290,282,100
sub-r029s007,95,1,505,505,100
sub-r004s003,139,2,610,355,100
sub-r031s007,104,3,1027,850,100
sub-r047s031,144,3,1103,1014,100
sub-r002s010,130,2,2375,2330,100
sub-r040s002,125,1,48,48,1000
sub-r042s021,81,1,6,6,1000
sub-r010s003,111,2,46,37,1000
sub-r001s008,116,2,59,52,1000
sub-r040s043,70,5,69,28,1000
sub-r009s021,106,1,39,39,1000
sub-r019s007,140,1,33,33,1000
sub-r009s034,71,2,13,8,1000
sub-r031s011,141,7,427,241,1000
sub-r048s015,50,1,212,212,1000
sub-r003s012,156,1,325,325,1000
sub-r009s089,47,3,801,795,1000
sub-r031s035,107,1,626,626,1000
sub-r052s026,76,1,1944,1944,1000
sub-r040s039,158,1,1064,1064,1000
sub-r003s008,138,2,2187,2144,1000
sub-r049s024,105,1,75,75,1001
sub-r034s007,172,2,59,58,1001
sub-r042s021,132,4,118,44,1001
sub-r048s038,105,2,37,33,1001
sub-r028s014,93,1,27,27,1001
sub-r052s019,181,3,26,16,1001
sub-r049s018,54,1,33,33,1001
sub-r001s002,60,1,13,13,1001
sub-r009s001,42,1,385,385,1001
sub-r040s070,140,3,298,183,1001
sub-r017s104,97,3,218,160,1001
sub-r004s009,121,2,755,753,1001
sub-r038s081,52,1,542,542,1001
sub-r029s003,123,1,1608,1608,1001
sub-r040s042,123,5,1135,1096,1001
sub-r040s030,92,1,2864,2864,1001
sub-r009s008,108,2,134,118,1002
sub-r004s027,161,2,172,87,1002
sub-r027s050,116,3,36,25,1002
sub-r009s032,109,2,92,53,1002
sub-r017s104,112,2,50,48,1002
sub-r003s014,82,1,99,99,1002
sub-r009s032,164,1,14,14,1002
sub-r009s022,112,1,184,184,1002
sub-r040s020,144,3,276,256,1002
sub-r027s042,106,1,224,224,1002
sub-r048s035,153,1,226,226,1002
sub-r038s025,67,1,842,842,1002
sub-r009s004,58,3,648,645,1002
sub-r052s026,57,1,1012,1012,1002
sub-r004s025,130,1,1107,1107,1002
sub-r003s003,109,1,2423,2423,1002
sub-r010s005,89,1,5,5,1003
sub-r009s096,131,1,1,1,1003
sub-r048s035,176,1,32,32,1003
sub-r028s026,84,2,84,53,1003
sub-r005s077,155,1,63,63,1003
sub-r042s029,100,1,129,129,1003
sub-r040s051,157,1,1,1,1003
sub-r001s005,96,2,121,119,1003
sub-r009s049,101,3,284,242,1003
sub-r009s052,98,2,388,373,1003
sub-r042s010,101,2,335,334,1003
sub-r005s075,120,1,570,570,1003
sub-r017s104,144,3,926,871,1003
sub-r034s007,127,1,1663,1663,1003
sub-r002s010,100,3,1295,1274,1003
sub-r040s053,119,1,2013,2013,1003
sub-r052s032,97,2,33,25,1004
sub-r009s030,106,2,35,31,1004
sub-r015s025,102,1,20,20,1004
sub-r011s003,115,1,69,69,1004
sub-r042s011,149,2,127,123,1004
sub-r034s025,102,1,4,4,1004
sub-r009s099,88,1,51,51,1004
sub-r009s017,111,3,21,10,1004
sub-r004s018,177,1,207,207,1004
sub-r047s007,117,3,215,195,1004
sub-r028s002,88,3,230,204,1004
sub-r027s031,133,5,782,557,1004
sub-r018s008,179,2,644,634,1004
sub-r004s004,178,1,1531,1531,1004
sub-r027s048,68,3,1485,1450,1004
sub-r047s026,119,1,2144,2144,1004
sub-r009s126,92,3,159,156,1005
sub-r017s119,158,5,144,60,1005
sub-r052s001,125,3,142,134,1005
sub-r052s001,113,1,9,9,1005
sub-r048s011,166,2,12,9,1005
sub-r009s119,115,1,11,11,1005
sub-r001s011,159,1,12,12,1005
sub-r031s005,81,8,102,39,1005
sub-r047s027,145,1,431,431,1005
sub-r038s017,141,4,439,321,1005
sub-r004s018,183,1,290,290,1005
sub-r009s085,50,3,876,707,1005
sub-r003s001,131,1,852,852,1005
sub-r004s027,151,1,1574,1574,1005
sub-r001s002,153,1,1773,1773,1005
sub-r003s003,99,1,2194,2194,1005
sub-r004s023,172,1,13,13,1006
sub-r034s012,63,2,83,76,1006
sub-r009s008,137,2,19,18,1006
sub-r001s026,140,1,103,103,1006
sub-r038s085,73,2,88,85,1006
sub-r046s011,118,1,95,95,1006
sub-r009s032,69,1,91,91,1006
sub-r004s027,73,1,35,35,1006
sub-r024s003,64,1,368,368,1006
sub-r048s035,164,2,318,314,1006
sub-r038s081,92,1,309,309,1006
sub-r009s108,40,1,949,949,1006
sub-r040s042,159,3,524,450,1006
sub-r044s002,138,2,1167,1165,1006
sub-r023s003,82,1,1392,1392,1006
sub-r002s010,138,1,2420,2420,1006
