subject_name,slice,batch
sub-r011s008,166,1
sub-r023s002,182,1
sub-r019s008,144,1
sub-r003s001,34,1
sub-r052s015,4,1
sub-r001s008,186,1
sub-r009s006,68,1
sub-r009s005,16,1
sub-r040s063,9,1
sub-r038s091,30,1
sub-r001s008,90,1
sub-r040s063,159,1
sub-r009s029,53,1
sub-r038s091,31,1
sub-r009s041,93,1
sub-r048s037,41,1
sub-r004s010,39,2
sub-r040s063,8,2
sub-r002s003,175,2
sub-r047s038,41,2
sub-r001s008,2,2
sub-r017s118,131,2
sub-r052s026,41,2
sub-r048s015,24,2
sub-r035s005,19,2
sub-r005s068,9,2
sub-r017s119,58,2
sub-r047s038,176,2
sub-r009s102,24,2
sub-r009s088,95,2
sub-r048s002,51,2
sub-r031s005,54,2
sub-r038s093,130,3
sub-r009s078,33,3
sub-r009s085,159,3
sub-r042s003,124,3
sub-r038s032,28,3
sub-r023s009,46,3
sub-r034s039,54,3
sub-r010s018,110,3
sub-r046s005,52,3
sub-r035s007,187,3
sub-r047s007,173,3
sub-r034s036,169,3
sub-r044s003,146,3
sub-r001s008,152,3
sub-r040s011,72,3
sub-r027s042,4,3
sub-r009s085,96,4
sub-r047s001,50,4
sub-r004s010,20,4
sub-r040s047,144,4
sub-r040s011,20,4
sub-r038s007,186,4
sub-r017s119,175,4
sub-r004s001,188,4
sub-r004s010,174,4
sub-r019s007,70,4
sub-r023s003,38,4
sub-r034s032,14,4
sub-r009s108,142,4
sub-r002s003,156,4
sub-r040s011,59,4
sub-r038s089,182,4
sub-r038s032,85,5
sub-r002s012,8,5
sub-r009s006,168,5
sub-r023s009,33,5
sub-r004s010,31,5
sub-r047s007,106,5
sub-r003s006,179,5
sub-r009s078,56,5
sub-r040s047,137,5
sub-r042s029,78,5
sub-r034s047,177,5
sub-r048s032,18,5
sub-r040s056,121,5
sub-r034s036,120,5
sub-r040s063,154,5
sub-r009s029,111,5
sub-r009s107,0,6
sub-r005s075,177,6
sub-r040s043,137,6
sub-r017s118,37,6
sub-r040s011,1,6
sub-r052s026,38,6
sub-r031s005,17,6
sub-r009s125,75,6
sub-r003s006,57,6
sub-r015s011,30,6
sub-r017s106,20,6
sub-r040s047,71,6
sub-r040s043,149,6
sub-r028s004,94,6
sub-r019s012,154,6
sub-r040s013,98,6
sub-r047s007,182,7
sub-r038s057,171,7
sub-r003s015,161,7
sub-r009s006,4,7
sub-r011s008,21,7
sub-r009s107,97,7
sub-r035s007,0,7
sub-r034s036,56,7
sub-r052s015,7,7
sub-r003s015,83,7
sub-r011s020,26,7
sub-r011s015,184,7
sub-r038s032,38,7
sub-r048s037,186,7
sub-r011s015,144,7
sub-r002s012,188,7
sub-r019s008,19,8
sub-r031s025,8,8
sub-r047s007,23,8
sub-r019s012,68,8
sub-r040s013,33,8
sub-r009s107,142,8
sub-r009s108,153,8
sub-r009s122,20,8
sub-r009s119,165,8
sub-r005s046,42,8
sub-r023s002,50,8
sub-r035s006,168,8
sub-r042s003,173,8
sub-r038s007,4,8
sub-r017s119,41,8
sub-r040s063,174,8
sub-r019s008,37,9
sub-r004s024,43,9
sub-r005s068,169,9
sub-r031s035,163,9
sub-r028s004,52,9
sub-r003s006,44,9
sub-r047s014,5,9
sub-r038s007,180,9
sub-r034s047,87,9
sub-r038s057,127,9
sub-r034s039,46,9
sub-r044s003,16,9
sub-r042s029,52,9
sub-r011s015,86,9
sub-r010s018,12,9
sub-r004s001,11,9
sub-r031s025,183,10
sub-r023s009,172,10
sub-r004s028,170,10
sub-r034s003,175,10
sub-r017s104,23,10
sub-r003s001,81,10
sub-r009s088,7,10
sub-r009s074,138,10
sub-r031s020,179,10
sub-r044s003,65,10
sub-r011s015,131,10
sub-r048s022,161,10
sub-r047s007,104,10
sub-r001s021,2,10
sub-r038s057,146,10
sub-r009s005,47,10
sub-r001s033,102,11
sub-r009s006,7,11
sub-r048s002,37,11
sub-r009s107,158,11
sub-r015s011,18,11
sub-r047s001,174,11
sub-r044s003,24,11
sub-r040s063,40,11
sub-r023s009,32,11
sub-r038s065,2,11
sub-r040s011,44,11
sub-r034s032,50,11
sub-r003s001,76,11
sub-r038s091,61,11
sub-r035s007,49,11
sub-r009s088,97,11
sub-r009s122,103,12
sub-r009s006,41,12
